No.; Tex;Result
1305; "RT @YacoobGYacoo: أم الشهيد ريمون ريان تدعو الشعب العراقي للمطالبة بحقوقه. دعوات أم الشهيد التي فارقت ابنها أقوى من رصاصات القتلة.  #العراق…;N
1306; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1307; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1308; "عاجل|  وفاة أكثر من 210 إيرانيين في مختلف المدن بسبب فيروس كورونا #بغداد_بوست  #العراق_ينتفض https://t.co/IEJwynHWHa;IDK
1309; "جهاز فحص الوافدين عاطل في مطار #بغداد  وهذه الزيارة اليوم الساعة 4:00 ، للنائب جواد الموسوي ... عضو لجنة الصحة والبيئة النيابية‼️‼️   #العراق  #العراق_ينتفض https://t.co/n0Hr3qMDqZ;IDK
1310; "RT @BaghdadPost_Brk: عاجل|  وفاة أكثر من 210 إيرانيين في مختلف المدن بسبب فيروس كورونا #بغداد_بوست  #العراق_ينتفض https://t.co/IEJwynHWHa;N
1311; RT @Zahraalic: اذا انت متظاهر فكر ولاتاخذ راي المبغضين للزعيم العراقي السيد مقتدى الصدر وأنصاره تره ذولة اخوانك وداعمين للثورة لايخدعكوك ال;N
1312; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1313; "حال والدة شاب قتلته القوات الحكومية في #مجزرة_الناصرية ـــــــــــــــــــــ #ثورة_تشرين #نريد_وطن #العراق_ينتفض #العراق | #قناة_الرافدين https://t.co/qTc9OLuzQ7;IDK
1314; "RT @omartvsd: الْيَوْمَ أستشهد متظاهر وأصيب آخرين بسلاح قوات الأمن التابعة للدولة العراقية في ساحة الخلاني وسط بغداد  رئيس الوزراء ووزير ال…;N
1315; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1316; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1317; "RT @Crii_safha: الان كورونا في العراق ستنتشر مثل إيران .. متى يفهم هؤلاء المجوس الهمج ان المعممين الانجاس ومراقد الرذيلة وحسينيات المتعة هم…;False
1318; RT @IWDCiraq: #توثيق اختطاف الناشط (مصطفى محمد اشعيب) على يد مليشيات مسلحة أثناء عودته ظهراً لبيت ذويه في منطقة الشعب أول أمس الأربعاء 26/2;N
1319; "RT @BaghdadPost_Brk: عاجل|  وفاة أكثر من 210 إيرانيين في مختلف المدن بسبب فيروس كورونا #بغداد_بوست  #العراق_ينتفض https://t.co/IEJwynHWHa;N
1320; "@alialkhalede الإرهاب بكل أنواعه  #يسقط_مقتدى_القذر  #يسقط_محمد_توفيق_علاوي  #العراق_ينتفض  #العراق https://t.co/I7JRsAB8Mv;IDK
1321; "يقتلون الشيوخ والعشائر نائمة؟ ما هذا الذل والهوان يا عشائر العرب؟ #العراق_ينتفض;N
1322; "RT @omartvsd: الْيَوْمَ أستشهد متظاهر وأصيب آخرين بسلاح قوات الأمن التابعة للدولة العراقية في ساحة الخلاني وسط بغداد  رئيس الوزراء ووزير ال…;N
1323; "RT @BaghdadPost_Brk: عاجل|  وفاة أكثر من 210 إيرانيين في مختلف المدن بسبب فيروس كورونا #بغداد_بوست  #العراق_ينتفض https://t.co/IEJwynHWHa;N
1324; "RT @mustafairaqi0: المثنى .. من ساحة اعتصام الغدير في مدينة السماوة .. #العراق_ينتفض https://t.co/SFtWbSmfDf;IDK
1325; "@Mu_AlSadr الله لا يتقبل منك والله لا يرضى عنك والله لا يوجه لك الخير والله يتنقم منك والله ياخذ حق ولدنة من عافيتك والله يشوفنة بيك وبذيولك يوم مثل يوم فرعون والله يهلكك مثل هلاك قارون امين  #مليشيا_ابن_سعد #راجعين_٢٥ #راجعيلكم_بمليونية_25_شباط #العراق_ينتفض #مقتدى_الغدر #كورونا #العراق;False
1326; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1327; "RT @abpbf:  دعم للحسابات العراقية  لتقوية الحسابات ضد البلاغ  1-تابعني 2-علق بعلم  3-رتويت 4-تابع الي يتابعك بسرعه 5-الزيادة مضمونة…;IDK
1328; RT @biomedical79: معظم قراءاته خاطئة والسبب ان كل مسافر يجب ان يقف لمدة ثانيتين امام الكاميرا الحرارية لتعمل نوع من المعايرة الداخلية للبول;IDK
1329; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1330; "RT @mustafairaqi0: محمد توفيق علاوي يطالب البرلمان العراقي تأجيل جلسته الى يوم الأحد المقبل .. #العراق_ينتفض;IDK
1331; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1332; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1333; "RT @IWDCiraq: #عاجل سقوط قتيل (1) وسقوط أكثر من (5) برصاص القوات الحكومية والمليشيات المرافقة لها في ساحة الخلاني. #العراق_ينتفض #العراق #ا…;N
1334; "RT @ygvhvhvvkn1975: #العراق_ينتفض متظاهرو واسط يعلنون استعدادهم لأي عمل تطوعي لإنشاء مشفى للحجر الصحي في اي مكان مناسب بالمحافظة لمواجهة فا…;True
1335; "RT @ygvhvhvvkn1975: #العراق_ينتفض خياط من اهالي الناصرية⁦♥️⁩ يعمل على صنع كمامات وتوزيعها على المواطنين مجانا للوقاية من فايروس كورونا .  ف…;True
1336; "بيان نقابات العراق عدم تمرير حكومة علاوي البارحة مهما كانت الأسباب هو فرصة جديدة إلنه ولازم نستغلها  #ادعم_ثوارك #راجعيلكم_بمليونية #العراق_ينتفض #الثورة_مستمرة #الحرية_للمعتقلين #الثورة_للشهداء https://t.co/kIvGoAGEFX;N
1337; RT @biomedical79: معظم قراءاته خاطئة والسبب ان كل مسافر يجب ان يقف لمدة ثانيتين امام الكاميرا الحرارية لتعمل نوع من المعايرة الداخلية للبول;IDK
1338; "RT @SofiaDawood1: لا جديات العراق إلى أين ؟!  لازال هناك شهداء يسقطون في الخلاني وقمع مستمر مع أستمرار فتح الحدود مع إيران وقريت قبل شوي أن…;N
1339; "RT @omartvsd: الْيَوْمَ أستشهد متظاهر وأصيب آخرين بسلاح قوات الأمن التابعة للدولة العراقية في ساحة الخلاني وسط بغداد  رئيس الوزراء ووزير ال…;N
1340; "RT @RandMusawi: أني اللي مات من القهر يل ماتحس باوجاعي  أني الفقد روح ووطن واني الدفنت اسباعي  هذا الوطن باسمي نعم بس ماضگت من خيرة  استشهد…;IDK
1341; "لماذا لم تسلم #جرف_الصخر لأهاليها للآن؟ ... تعرف على التفاصيل.  #العراق #بغداد #العراق_ينتفض #نازل_اخذ_حقي #بغداد_بوست لمشاهدة الفيديو بدقة عالية وكاملاً اضغط على الرابط التالي: https://t.co/SNLNamORgo https://t.co/CeJGgAo9FS;IDK
1342; "RT @DhuhaIts: سبحان من صنع ابتسامتك   #شهداء_العراق #العراق_ينتفض #الحرية_لميلاد_محمود  #الحرية_لعلي_جاسب  #الثورة_مستمرة #الحرية_للمعتقلي…;IDK
1343; "RT @in1uu: وين الفزعه  فزعة اهل #ذي_قار  فزعة الثوار الأحرار ✌ #قسم_عليكم #بدم الشهداء  دعم دعم ثاني حساب راح ينقفل  ممكن عدم   #متابع…;IDK
1344; "RT @ALMAYAHI_313: ترى مثل ما اكو صفحات ممولة اكو خيام ممولة واكو نواشيط ممولين ، والساحات مافقدت تأثيرها وحجمها إلا بعد ماسيطر عليها اصحاب…;IDK
1345; "RT @mustafakamilm: استشهاد متظاهر وإصابة 13 على يد عصابات #المنطقة_الخضراء الإرهابية قرب #ساحة_التحرير وسط #بغداد.  #العراق #ثورة_تشرين #ال…;N
1346; "RT @IWDCiraq: #توثيق حالات الجرحى الذين سقطوا اليوم بنيران القوات الحكومية والمليشيات المرافقة لها في ساحة الخلاني وسط #بغداد. #نازل_اخذ_حق…;N
1347; "RT @mustafairaqi0: محمد توفيق علاوي يطالب البرلمان العراقي تأجيل جلسته الى يوم الأحد المقبل .. #العراق_ينتفض;IDK
1348; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1349; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1350; "RT @iraqnownow: هل هذا أسلوب دولة ؟  وهذا اسلوب من ؟ ""جئناكم بالذبح"" تهديد صريح ومباشر من عنصر بالقوات الأمنية للثوار !!     #العراق_ينتفض…;N
1351; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1352; "RT @Q___1___8: آنا الشهيد الماخذ احلامي وياي صغير ولا كلفت المغيسل ماي ......   #الشهيد_محمد_المختار  #الثورة_للشهداء  #الثورة_مستمرة  #الع…;IDK
1353; "RT @Q___1___8: مقعد #الشهيد محمد المختار   #الثورة_للشهداء  #الثورة_مستمرة  #العراق_ينتفض https://t.co/HILYE5mEi5;IDK
1354; "RT @Q___1___8: الشهيد البطل محمد المختار مواليد 2000  خرج يريد وطن فاراد الوطن عمره   #العراق   #العراق_ينتفض  #الثورة_للشهداء  #الثورة_مست…;IDK
1355; RT @IWDCiraq: #توثيق اختطاف الناشط (مصطفى محمد اشعيب) على يد مليشيات مسلحة أثناء عودته ظهراً لبيت ذويه في منطقة الشعب أول أمس الأربعاء 26/2;N
1356; "RT @Q___1___8: هنيئا لك ايها البطل  هنيئا لك الشهادة  هنيئا لك الجنة   #محمد_المختار  #الثورة_للشهداء #العراق  #العراق_ينتفض  #الثورة_مستمر…;IDK
1357; RT @IWDCiraq: #توثيق أسلوب تهديد بقتل المتظاهرين السلميين من قبل القوات الحكومية التي من واجبها حماية المتظاهرين بموجب القانون الداخلي والق;N
1358; RT @IWDCiraq: #عاجل موجة عنف جديدة من قبل القوات الحكومية والمليشيات المرافقة لها ضد المتظاهرين بعد إطلاق كثيف للقنابل الدخانية والرصاص يوق;N
1359; "RT @BaghdadPost_Brk: عاجل|  وفاة أكثر من 210 إيرانيين في مختلف المدن بسبب فيروس كورونا #بغداد_بوست  #العراق_ينتفض https://t.co/IEJwynHWHa;N
1360; "RT @ali11iraq: هذا هوا مكانك يا دولة الشر والأرهاب إيران، اخرجوا من بلادنا فالعراق يتكلم عربي ويلبس عربي ويفتخر بالعروبة، اخرجوا من بلادنا…;False
1361; "RT @IWDCiraq: #عاجل مليشيات مسلحة  تغتال الشيخ (عبد الصاحب سعدون المشلب) وزوجته شيخ، عشيرة الحميد طعنا بالسكاكين صباح هذا اليوم الجمعة وهم…;N
1362; "RT @hgyfb4: يا أيها الفرات لا تبكيِ وتبكينا     وأبلع دموعك إن الدمع يؤذينا  متى ستعرف إن الموج موطننا      فليس من بلد في البر يأوينا  يا…;True
1363; "RT @04Themoon: @Mu_AlSadr الله لا يتقبل منك والله لا يرضى عنك والله لا يوجه لك الخير والله يتنقم منك والله ياخذ حق ولدنة من عافيتك والله يش…;False
1364; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1365; "شني هل تناغم الكلب بولي يغرد وهشام يعجب واحمد الجبوري يغرد وفائق يعجب على شنو دجل ه عاودة البث كثرونه من سحر #العراق_ينتفض #الناصرية https://t.co/5SaZKNyt55;N
1366; "RT @mustafakamilm: العميل وفيق السامرائي لا يعتز بأصله العربي ولا يخاف من الله، لكنه عبد ذليل لسيده #الولي_الفقيه وجندي عند #سليماني.  #الع…;False
1367; "RT @a__c_h_e: وبعدديييييييين يعني الا تترزلين   مو اكول عيب انتي بعمر ماما   #العراق_ينتفض;False
1368; "RT @a__c_h_e: عليّت عليك لچن مو كبر معناي   نية الغيم من يعلى إعلى گاع أفياي   #ثورة_تشرين_العراقيه #الثورة_للشهداء #الحرية_للمعتقلين #العر…;N
1369; "RT @a__c_h_e: مصادر : اصابة النائب بالبرلمان العراقي حسن الجنابي بفيروس كورونا  (چنها شدت حيلها كوروناا )  #الحرية_للمعتقلين #الثورة_للشهدا…;N
1370; "استشهاد متظاهر وإصابة ""13"" آخرين حصيلة ضحايا قمع القوات الأمنية لمتظاهري ساحة ""الخلاني"" وسط العاصمة بغداد اليوم   #بغداد_بوست  #العراق_ينتفض  #العراق https://t.co/lWDBu0MhPz;N
1371; "✔️وجهة نظر  فكرة مليونية الي أشار إلها دكتور علاء الركابي هي فكرة غير مدروسة وممكن تؤدي إلى نتائج وخيمة ويمكن نخسر أضعاف الشباب الي خسرناهم لا أعلم بماذا يفكر علاء الركابي ولكن ربما تكون المليونية لأغراض سياسية او شخصية.  #العراق_ينتفض;N
1372; "RT @AlKhazraji_75: #الثوره_للشهداء  ⭕هذه المشاهد الدامية والتي يهتز لها ضمير الانسانية ستظل عالقة في ذاكرتنا للابد ماذا فعل هذا الشاب حتى ي…;True
1373; "RT @TheBaghdadPostA: استشهاد متظاهر وإصابة ""13"" آخرين حصيلة ضحايا قمع القوات الأمنية لمتظاهري ساحة ""الخلاني"" وسط العاصمة بغداد اليوم   #بغد…;N
1374; "RT @dal94ll: ✔️وجهة نظر  فكرة مليونية الي أشار إلها دكتور علاء الركابي هي فكرة غير مدروسة وممكن تؤدي إلى نتائج وخيمة ويمكن نخسر أضعاف الشبا…;N
1375; "صار ٥ أشهر طالعين بسلمية.. منو سمعنا مجلس الأحزاب (النواب) لو رئيس الجمهورية.. لو محاكم دولية.. لو المجتمع الدولي.. الكل يفكر بمصالحه الشخصية والسلمية لا تنفع مع هؤلاء الحثالات.. سوف ندخل الخضراء قريباً وأما النصر او الشهادة. #العراق_ينتفض #ساحة_التحرير;N
1376; "RT @alrafidain_tv: حال والدة شاب قتلته القوات الحكومية في #مجزرة_الناصرية ـــــــــــــــــــــ #ثورة_تشرين #نريد_وطن #العراق_ينتفض #العراق…;IDK
1377; "RT @dal94ll: ✔️وجهة نظر  فكرة مليونية الي أشار إلها دكتور علاء الركابي هي فكرة غير مدروسة وممكن تؤدي إلى نتائج وخيمة ويمكن نخسر أضعاف الشبا…;N
1378; "RT @hgyfb4: يا أيها الفرات لا تبكيِ وتبكينا     وأبلع دموعك إن الدمع يؤذينا  متى ستعرف إن الموج موطننا      فليس من بلد في البر يأوينا  يا…;True
1379; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1380; "RT @TheBaghdadPostA: استشهاد متظاهر وإصابة ""13"" آخرين حصيلة ضحايا قمع القوات الأمنية لمتظاهري ساحة ""الخلاني"" وسط العاصمة بغداد اليوم   #بغد…;N
1381; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1382; "RT @SofiaDawood1: لا جديات العراق إلى أين ؟!  لازال هناك شهداء يسقطون في الخلاني وقمع مستمر مع أستمرار فتح الحدود مع إيران وقريت قبل شوي أن…;N
1383; RT @biomedical79: معظم قراءاته خاطئة والسبب ان كل مسافر يجب ان يقف لمدة ثانيتين امام الكاميرا الحرارية لتعمل نوع من المعايرة الداخلية للبول;IDK
1384; "RT @IWDCiraq: #توثيق تعرض الناشط (آراي) إلى الضرب المبرح أثناء خروجه من ساحة التحرير على يد مجموعة مسلحة تابعه لسرايا السلام . #العراق_ينتف…;N
1385; RT @MohHas71: لاحول ولاقوه الا بالله https://t.co/p4ZXYyriG;IDK
1386; "RT @wisam_j75: جهاز فحص الوافدين عاطل في مطار #بغداد  وهذه الزيارة اليوم الساعة 4:00 ، للنائب جواد الموسوي ... عضو لجنة الصحة والبيئة النيا…;IDK
1387; RT @Fareshadi9: الحضور يرفع الراس و الناشطين و المتظاهرين وصلو بكوسترات من التحرير حته ليگولون مسيحي و ما اله أحد لا احنه كلنه دم واحد و نب;True
1388; "تاج تاج على الراس...دمالشهيد الغالي  #IraqProtests #الثورة_للشهداء  #الحرية_للمعتقلين  #العراق_ينتفض  #Iraq https://t.co/sgSrECaTNR;True
1389; "RT @TheBaghdadPostA: لماذا لم تسلم #جرف_الصخر لأهاليها للآن؟ ... تعرف على التفاصيل.  #العراق #بغداد #العراق_ينتفض #نازل_اخذ_حقي #بغداد_بوست…;IDK
1390; "RT @omartvsd: الْيَوْمَ أستشهد متظاهر وأصيب آخرين بسلاح قوات الأمن التابعة للدولة العراقية في ساحة الخلاني وسط بغداد  رئيس الوزراء ووزير ال…;N
1391; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1392; "RT @omartvsd: الْيَوْمَ أستشهد متظاهر وأصيب آخرين بسلاح قوات الأمن التابعة للدولة العراقية في ساحة الخلاني وسط بغداد  رئيس الوزراء ووزير ال…;N
1393; "RT @BaghdadPost_Brk: عاجل|  وفاة أكثر من 210 إيرانيين في مختلف المدن بسبب فيروس كورونا #بغداد_بوست  #العراق_ينتفض https://t.co/IEJwynHWHa;N
1394; "RT @8mKcR3D: عدد المصابين بمرض التحرر 1 مليون وعدد الرافضين التحرر 34 مليون لازم الكل تحرر حتى ترتاح زهوره ;IDK
1395; "RT @mustafairaqi0: اساتذة اللغة العربية ممكن معنى كلمة شعبوثي لان بحثت هواي ما لكيت معنى .. #العراق_ينتفض;IDK
1396; "RT @ItsAlqasem: #العراق - بالوثيقة، علاوي يطالب البرلمان بتأجيل جلسة الغد الى يوم الأحد من أجل إكمال الكابينة الوزراية. ———  الظاهر انو ال…;IDK
1397; RT @zaidabdulwahab: الاٍرهاب واحد ... حتى إذا تغيرت الملابس او المسميات او الرايات;True
1398; "RT @dal94ll: ✔️وجهة نظر  فكرة مليونية الي أشار إلها دكتور علاء الركابي هي فكرة غير مدروسة وممكن تؤدي إلى نتائج وخيمة ويمكن نخسر أضعاف الشبا…;N
1399; "#الصرخي_يغرد_ولايةالفقيه_ولايةالطاغوت #حماية_دولية_حل_المليشيات_حكومة_طوارئ #العراق_ينتفض #اغلقوا_الحدود_مع_ايران  قيافا افتى ضده وقال للشعب لقد جدف اراد ان يسرق العتبات  واما التلامذة فقد تركوه وخذلوه واما الشعب فقد بصق عليه وضربوه وصلبوه وهدموا داره حيث كانت تؤي فقيرهم وتطعمهم. https://t.co/6MkgkOviif;IDK
1400; "RT @mustafairaqi0: مصطفى الكاظمي بديلا عن محمد توفيق علاوي في حال لم يصوت عليه الاسبوع المقبل .. #العراق_ينتفض;IDK
1401; "RT @mustafairaqi0: المثنى .. من ساحة اعتصام الغدير في مدينة السماوة .. #العراق_ينتفض https://t.co/SFtWbSmfDf;IDK
1402; "بابسط الادوات شباب التحرير يصممون جهاز لتعقيم الجسم من فايروس كورونا.. #العراق_ينتفض #العراق_النا_مو_الكم https://t.co/B52Tch2mX0;True
1403; "ناشطون ينصبون نقطة لتعقيم المتظاهرين القادمين إلى ساحة التحرير لتفادي انتشار فيروس كورونا ـــــــــــــــــــــ #ثورة_تشرين #نريد_وطن #العراق_ينتفض #العراق | #قناة_الرافدين https://t.co/XZXi5XSbLA;True
1404; "RT @mustafairaqi0: جهازي الكاميرا الحرارية لكشف المصابين بفايروس كورونا المنصوبة في مطار بغداد الدولي احدهم عاطل والثاني قراءته خاطئ.  #الع…;IDK
1405; "@faigalsheakh اللله ياخذهم ويخلصنا من شرهم  #العراق_ينتفض;False
1406; "RT @4freeiran_1: ضابط عراقي يتحدث عن وجود مئات القادمين إلى #العراق من #ايران دون وجود امكانية لحجرهم واغلاق الحدود !! هاي شلون دولة ؟ وين…;N
1407; "RT @alrafidain_tv: ناشطون ينصبون نقطة لتعقيم المتظاهرين القادمين إلى ساحة التحرير لتفادي انتشار فيروس كورونا ـــــــــــــــــــــ #ثورة_تش…;True
1408; "RT @alrafidain_tv: ناشطون ينصبون نقطة لتعقيم المتظاهرين القادمين إلى ساحة التحرير لتفادي انتشار فيروس كورونا ـــــــــــــــــــــ #ثورة_تش…;True
1409; "RT @mostafa_moshtak: حتماً ستنتنصر حُرقة القلب هذه والدموع فصبرٌ جميل  #العراق_ينتفض #حيَ_على_اكمال_طريق_الحق  #بغداد #الناصرية @shahokurdy…;True
1410; "RT @oIIRv67Wa3HLz4q: #الصرخي_يغرد_ولايةالفقيه_ولايةالطاغوت #حماية_دولية_حل_المليشيات_حكومة_طوارئ #العراق_ينتفض #اغلقوا_الحدود_مع_ايران  قيا…;IDK
1411; "الانتفاظة بفضل الشهداء مستمرة وستستمر الى ان يتم الاعلان عن... انتخابات مبكررة وحسر السلاح بيد الدولة وحل البرلمان الحالي  كشف قتلة المتظاهرين السلميين ومحاكتهم بالمحاكم المحلية والدولية  حل المكاتب الاقتصادية للاحزاب  وغير هيج احنه مارح نتراجع ✊ #العراق_ينتفض #الثوره_للشهداء;True
1412; "المتحزب الساقط يريد جمع التبرعات من الفقراء لانجاز مهمته الحزبية! . . ⚠️مرة أخرى : اهل بغداد يسدون عين الشمس بالمظاهرات ولا محتاجيك انت وامثالك من المنافقين الحثالة! . . ⚠️لا تخرجوا مع الدجال! . . #العراق_ينتفض #كلهم #نريد_وطن #ساحة_التحرير #ثورة #لاتدخل_للخضراء #ادعم_ثوارك https://t.co/3m1kewL0bR;False
1413; "بغداد  ساحة الخلاني #العراق_ينتفض;IDK
1414; "RT @oIIRv67Wa3HLz4q: #الصرخي_يغرد_ولايةالفقيه_ولايةالطاغوت #حماية_دولية_حل_المليشيات_حكومة_طوارئ #العراق_ينتفض #اغلقوا_الحدود_مع_ايران  قيا…;IDK
1415; "RT @haidar_ameery: #العراق #العراق_ينتفض #ساحة_التحرير  #الثوره_للشهداء #سلاما_يا_عراق #شيعة_واكراد_وسنة_حب_الوطن_يجمعنا #الخط_الصدري_المعا…;IDK
1416; "@MHabibAhi #علاوي انتهى فرصته يجب ان يعتذر للجميع ويغادر لندن وياخذ ابنه هادي  #العراق_ينتفض;IDK
1417; "RT @c_i_c5: المتظاهر اللي جاي يباوع على هذه الفديو معقولة بعدك  مقتنع بهاي التظاهرات ؟؟ #العراق_ينتفض  #العراق https://t.co/mo5OkIOIuV;IDK
1418; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1419; "مبادرة من ساحة اعتصام #البصرة للتبرع لعلاج الطفلة فاطمة  التي تفقد نضرها اثمرت بجمع مبلغ ٢٩ مليون دينار و٣٧٠٠ دولار.        #ثورتنا_ثورة_وطن_ومواطن #ثورتنا_أنسانية #العراق_ينتفض https://t.co/MawEH2rV63;True
1420; "RT @DisgainerAqeel: مبادرة من ساحة اعتصام #البصرة للتبرع لعلاج الطفلة فاطمة  التي تفقد نضرها اثمرت بجمع مبلغ ٢٩ مليون دينار و٣٧٠٠ دولار.…;True
1421; "@dal94ll بالعكس انا اشوف تهديد الخضراء تطور مطلوب يعني هسه المتظاهرين يقتلون ويخطفون وتحرق خيمهم ومحد مهتم حتى المرجعيات للاسف ساكته وكأنه حق الحكومة تقتل شعبها، بالاخير لازم يصير تطور لان اصحاب القرار مو مهتمين للشعب وللاسف يمكن قاعدين يضحكون علينا وعلى تخاذلنا   #العراق_ينتفض;N
1422; "RT @ReemAlIraq1: الدولة العميقة تغتال الشيخ صاحب السعدون المشلب شيخ عشائر ال حميد مع زوجته طعنا بالسكاكين في قلعة سكر. فقط لانه يدعم الثوار…;N
1423; "للتاريخ  وحطها بعقلك، هاي الثورة تبقى تعلك بالساحات جفوف تكلك لك طير وترفعلك فنگر #العراق_ينتفض #ثورة_اكتوبر #محاكمة_عادل_عبد_المهدي #مستمرون_حتى_ازالتكم #يسقط_محمد_توفيق_علاوي;N
1424; "RT @DisgainerAqeel: مبادرة من ساحة اعتصام #البصرة للتبرع لعلاج الطفلة فاطمة  التي تفقد نضرها اثمرت بجمع مبلغ ٢٩ مليون دينار و٣٧٠٠ دولار.…;True
1425; "RT @mustafairaqi0: عندي بس طلب وحيد الله الله .. اريد اعرف مقتدى شيريد الله الله .. #العراق_ينتفض https://t.co/GKeEx35n7d;N
1426; "RT @DisgainerAqeel: مبادرة من ساحة اعتصام #البصرة للتبرع لعلاج الطفلة فاطمة  التي تفقد نضرها اثمرت بجمع مبلغ ٢٩ مليون دينار و٣٧٠٠ دولار.…;True
1427; "RT @SofiaDawood1: لا جديات العراق إلى أين ؟!  لازال هناك شهداء يسقطون في الخلاني وقمع مستمر مع أستمرار فتح الحدود مع إيران وقريت قبل شوي أن…;N
1428; "RT @oIIRv67Wa3HLz4q: #الصرخي_يغرد_ولايةالفقيه_ولايةالطاغوت #حماية_دولية_حل_المليشيات_حكومة_طوارئ #العراق_ينتفض #اغلقوا_الحدود_مع_ايران  قيا…;IDK
1429; RT @Safa_Ali_89: جميع النواب الذين هددهم مقتدى عليهم ان يكونوا بقدر المسؤولية ويتحلوا بالشجاعة ويجهروا ببيان الحقيقة كما فعل فائق الشيخ علي;N
1430; "RT @DisgainerAqeel: مبادرة من ساحة اعتصام #البصرة للتبرع لعلاج الطفلة فاطمة  التي تفقد نضرها اثمرت بجمع مبلغ ٢٩ مليون دينار و٣٧٠٠ دولار.…;True
1431; "RT @alrafidain_tv: ناشطون ينصبون نقطة لتعقيم المتظاهرين القادمين إلى ساحة التحرير لتفادي انتشار فيروس كورونا ـــــــــــــــــــــ #ثورة_تش…;True
1432; "RT @haidar_ameery: #العراق #العراق_ينتفض #ساحة_التحرير  #الثوره_للشهداء #سلاما_يا_عراق #شيعة_واكراد_وسنة_حب_الوطن_يجمعنا #الخط_الصدري_المعا…;IDK
1433; "RT @dal94ll: ✔️وجهة نظر  فكرة مليونية الي أشار إلها دكتور علاء الركابي هي فكرة غير مدروسة وممكن تؤدي إلى نتائج وخيمة ويمكن نخسر أضعاف الشبا…;N
1434; "RT @HAYDER_100: ضمن حملة #ارجع_إدعمني لعودة كل أشكال الدعم للثورة    ولاجل عودة الثورة لايام اكتوبر نتمنى أن يخرج أبناء المحافظات الغير منت…;True
1435; "RT @Q___1___8: هنيئا لك ايها البطل  هنيئا لك الشهادة  هنيئا لك الجنة   #محمد_المختار  #الثورة_للشهداء #العراق  #العراق_ينتفض  #الثورة_مستمر…;True
1436; "RT @ReemAlIraq1: الدولة العميقة تغتال الشيخ صاحب السعدون المشلب شيخ عشائر ال حميد مع زوجته طعنا بالسكاكين في قلعة سكر. فقط لانه يدعم الثوار…;N
